District_Name,UnitName,predicted_FIRs_next_year,trend_direction
BENGALURU CITY,BASAVESHWARA NAGAR PS,319.86,increasing
BENGALURU CITY,H.A.L. PS,330.35,increasing
BENGALURU CITY,GOVINDARAJA NAGAR PS,382.67,increasing
BENGALURU CITY,NANDINI LAYOUT PS,414.44,increasing
BENGALURU CITY,CHANDRA LAYOUT PS,415.0,increasing
BENGALURU CITY,BYATARAYANAPURA PS,415.56,increasing
BENGALURU CITY,K.R. PURAM PS,471.25,increasing
BENGALURU DIST,HOSAHALLI PS,38.83,increasing
BENGALURU DIST,BENGALURU DIST WOMEN PS,102.7,increasing
BENGALURU DIST,CHENNARAYAPATANA PS,108.37,increasing
BENGALURU DIST,THYAMAGONDLU PS,119.89,increasing
BENGALURU DIST,SULIBELE PS,126.72,increasing
BENGALURU DIST,ANUGONDANAHALLI PS,138.88,increasing
BENGALURU DIST,THIRUMALASHETTAHALLI PS,152.96,increasing
BENGALURU DIST,VISHWANATHAPURA PS,158.51,increasing
BENGALURU DIST,DODDABELAVANGALA PS,166.4,increasing
BENGALURU DIST,BENGALURU CEN CRIME PS,173.16,increasing
BENGALURU DIST,DODDABALLAPURA TOWN PS,170.67,increasing
BENGALURU DIST,HOSAKOTE TRAFFIC PS,232.0,increasing
BENGALURU DIST,VIJAYAPURA PS,186.24,increasing
BENGALURU DIST,DOBBESPET PS,204.8,increasing
BENGALURU DIST,NELAMANGALA TOWN PS,206.51,increasing
BENGALURU DIST,NANDAGUDI PS,218.45,increasing
BENGALURU DIST,BANNERGHATTA PS,225.28,increasing
BENGALURU DIST,RAJANUKUNTE PS,225.49,increasing
BENGALURU DIST,SARJAPURA PS,233.51,increasing
BENGALURU DIST,JIGANI PS,252.37,increasing
BENGALURU DIST,NELAMANGALA RURAL PS,268.37,increasing
BENGALURU DIST,ANEKAL PS,283.09,increasing
BENGALURU DIST,DODDABALLAPURA RURAL PS,337.71,increasing
BENGALURU DIST,AVALAHALLY PS,360.53,increasing
BENGALURU DIST,HOSAKOTE PS,406.19,increasing
BENGALURU DIST,SURYANAGAR PS,407.25,increasing
BENGALURU DIST,ATTIBELE PS,465.49,increasing
BENGALURU DIST,HEBBAGODI PS,482.77,increasing
BENGALURU DIST,NELAMANGALA TRAFFIC PS,511.79,increasing
BENGALURU DIST,MADANAYAKANAHALLY PS,551.72,increasing
BIDAR,BIDAR CEN CRIME PS,9.81,increasing
BIDAR,CHINTAKI PS,31.57,increasing
BIDAR,BIDAR WOMEN PS,34.84,increasing
BIDAR,BIDAR TOWN PS,37.33,increasing
BIDAR,SANTHAPUR PS,37.55,increasing
BIDAR,MEHAKAR PS,39.47,increasing
BIDAR,MANNALLI PS,39.68,increasing
BIDAR,KUSHNOOR PS,42.24,increasing
BIDAR,HOKRANA PS,42.88,increasing
BIDAR,HULSOOR PS,45.01,increasing
BIDAR,KHATAKA CHINCHOLI PS,46.93,increasing
BIDAR,BEMALKHED PS,47.15,increasing
BIDAR,MARKET PS,48.85,increasing
BIDAR,MUDBI PS,49.07,increasing
BIDAR,BAGDAL PS,49.49,increasing
BIDAR,BIDAR RURAL PS,52.69,increasing
BIDAR,KAMALANAGAR PS,63.96,increasing
BIDAR,JANWADA PS,68.69,increasing
BIDAR,BASAVA KALYANA RURAL PS,69.12,increasing
BIDAR,MANTHALA PS,69.76,increasing
BIDAR,BASAVA KALYANA TRAFFIC PS,70.19,increasing
BIDAR,BIDAR TRAFFIC PS,73.17,increasing
BIDAR,NEW TOWN PS,74.45,increasing
BIDAR,AURAD PS,78.72,increasing
BIDAR,HALLIKHED PS,79.79,increasing
BIDAR,BHALKI RURAL PS,82.77,increasing
BIDAR,HUMNABAD TRAFFIC PS,84.91,increasing
BIDAR,CHITAGUPPA PS,88.18,increasing
